year,print,ebooks,articles
2010,129122,111519,32888
2011,117451,100069,94711
2012,111227,164677,105791
2013,117120,213211,415036
2014,117171,190164,300634
2015,113503,242103,376928
2016,104364,283742,1040387
2017,106635,232192,754126
2018,103758,242707,1161627
2019,111189,606860,1394451
2020,108868,341529,1110739
2021,100022,330109,1076242
2022,99242,323210,1342525
2023,138037,339180,2276358
2024,121661,340401,2291402
