doc_id,label_id
1122545436,1067978100
1122545436,041634217
1122545436,041892836
1122545436,041361733
1122545436,040664244
1122545436,04148259X
1122568894,040118827
1122568894,041165764
1122568894,040647773
1122568894,041824288
1122568894,041134508
1122568894,040052273
1122825285,041788125
1122825285,041385659
1122825285,041694996
1122825285,040385752
1122825285,040490750
1123118442,04061963X
1123118442,040269264
1123118442,041215907
1123118515,041557360
1123118515,957804008
1123118515,041424727
1123118515,041411943
1123118515,041165993
1123282838,041137914
1123282838,040359646
1123282838,041735455
1123282838,041273516
1123323224,041922816
1123323224,04191404X
1123323224,040616940
1123335826,041762010
1123335826,041126289
1123335826,042842786
1123335826,040368246
1123335826,040632903
1123380538,1032307897
1123380538,041205626
1123380538,040195147
1123689490,118939319
1123689490,040710130
1123696365,040118827
1123696365,041290690
1123696365,040310310
1123696365,040233073
1123696365,040490432
1123696365,040766020
1123696365,040665208
1123699623,040197026
1123699623,041535219
1123699623,1062915038
1123699623,041520890
1123699623,040776069
1123699623,041143957
1123699623,040777049
1123699623,041585925
1123699623,04053510X
1123729433,943412579
1123729433,040176789
1123729433,101937358X
1123729433,040386627
1123729433,04129694X
1123729433,040485617
1123729433,041884175
1123729433,041731824
112392788X,1127148958
112392788X,041481143
112392788X,041925483
112392788X,040154645
112392788X,041256557
1123929173,041938224
1123929173,040118827
1123929173,040489469
1123997977,040118827
1123997977,04061963X
1123997977,944732348
1123997977,042605865
112400453X,040120694
112400453X,040015734
112400453X,041799453
112400453X,041256395
112400453X,041934008
112400453X,041914910
112400453X,04267316X
112413171X,041371526
112413171X,041535375
112413171X,041919750
112413171X,041654625
112413171X,042261740
112413171X,041280962
112413171X,041489950
112413171X,040162788
112413171X,042090377
1124434933,040476898
1124434933,041851056
1124434933,04113334X
1124434933,040588610
1124434933,041762010
1124434933,041684265
1124434933,040449033
1124763562,040343529
1124841288,041549473
1124841288,041740343
1124841288,040268799
1124904875,040042960
1124904875,041281365
1125044330,115518681
1125044330,040118827
1125044330,040752305
1125104848,119255588
1125104848,042290538
1125104848,042752477
1125104848,040006263
1125104848,1301144703
112553415X,987031708
112553415X,041951417
112553415X,041393708
112553415X,041672852
112553415X,040459748
112553415X,040710343
1125627468,040760014
1125627468,960767053
1125627468,1006402748
1125627468,040386627
1125627468,040162788
1125627468,041321650
1125627468,042676282
1125627468,041992555
1125627468,041216776
1125947721,040476898
1125947721,040449033
1125947721,041762010
1125947721,040120619
112599987X,040059960
112599987X,041752368
112599987X,043274730
112599987X,040361608
112599987X,040122778
112599987X,042645212
112599987X,041243293
112599987X,041498178
112599987X,04148259X
1126032417,118587943
1126032417,118629743
1126032417,118810758
1126032417,04053460X
1126032417,040534618
1126032417,040664392
1126254002,05007086X
1126254002,041416872
1126254002,040026418
1126254002,040732746
1126387975,940520915
1126387975,042743249
1126387975,04011144X
1126387975,1217680330
1126387975,98776845X
1126479837,041912233
1126479837,041520874
1126479837,981320554
1126538337,041588622
1126538337,041439279
1126538337,1043139133
112672467X,041323408
112672467X,040760669
112672467X,1302796828
112672467X,041524799
112672467X,041406605
1126773506,040568636
1126773506,041763513
1126773506,041304624
1126773506,041587472
1126773506,041640772
1126773506,041390776
1126773506,040004937
1126773506,042103533
1126850640,132522136
1126850640,04116489X
1126850640,040787044
1126850640,940431181
1126850640,040697150
1126850640,041784138
1126850640,106969780X
1126921777,040586405
1126921777,040369102
1126921777,040389359
112692220X,040578844
112692220X,965217167
112692220X,040212505
112692220X,040482456
112692220X,041668286
112692220X,040169162
112692220X,04148259X
112692220X,040388522
1126970964,040207137
1126970964,041223497
1126970964,040557294
1127083597,941152383
1127083597,042964164
1127083597,040543986
1127083597,941243664
1127104772,976854872
1127104772,042025877
1127104772,041209834
1127104772,04057833X
1127104772,041205502
1127104772,041274105
1127104772,04160329X
112724275X,040067807
112724275X,042773539
112724275X,958887012
112724275X,941370445
112724275X,947302050
112724275X,041760743
112724275X,041760530
112724275X,041339223
1127248456,040709590
1127248456,1071365908
1127248456,040763889
1127248456,040649377
1127337017,040118827
1127337017,04061963X
1127337017,958956855
1127337017,041239849
1127337017,041828887
1127337017,978834275
1127337017,042236169
1127338234,982398735
1127338234,040220478
1127338234,04200280X
1127338234,042942438
1127338234,040664937
1127338234,040272087
112745501X,040305503
112745501X,040153320
112745501X,041885813
112745501X,041884469
112757972X,004680367
112757972X,1008573213
112757972X,041795407
112757972X,980493439
112757972X,041259742
112757972X,040139433
112757972X,040403645
112757972X,041209915
112757972X,041442660
112757972X,041572378
112757972X,040052273
1127580051,042049083
1127580051,041285972
1127580051,041393708
1127623583,1177443902
1127623583,041673069
1127623583,041365844
1127623583,040269264
1127623583,043249809
1127679716,040118827
1127679716,040769100
1127679716,04198756X
1127679716,040693422
1127679716,041127277
1127679716,040664422
1127682571,001213644
1127682571,040149579
1127694812,040538818
1127694812,041824598
1127694812,041628640
1127694812,040563820
1127694812,041535898
1127694812,041572378
1127694812,041260023
1127694812,04198658X
1127694812,040763080
1127694812,040710343
1127694812,040605949
1127694812,040052273
1127957260,040334228
1127957260,041163710
1127957260,040520978
1127957260,040006263
1127995782,118547798
1127995782,04049716X
1127995782,119457679
1127995782,988555794
1128291320,040737810
1128291320,040072592
1128291320,042850134
1128291320,103423692X
1128291320,949426679
1128291320,041338413
1128553414,040118827
1128553414,040762297
1128553414,042412919
1128553414,040178943
112859496X,041506499
112859496X,042633966
112859496X,958846715
112859496X,042189799
1128650363,040787044
1128650363,040574474
1128734265,040268403
1128734265,040027309
1128734265,041125746
1128734265,040059820
1128734265,04120509X
1128996553,040457915
1129105083,1052923704
1129105083,043043666
1129105083,042744229
1129105083,041132408
1129140903,04062661X
1129140903,973163119
1129140903,943201713
1129140903,041465814
1129140903,041281306
1129140903,042090377
1129145964,132522136
1129145964,040787044
1129145964,04136757X
1129145964,042015197
1129451461,041635264
1129451461,042347734
1129451461,040346102
112968377X,040118827
112968377X,040665275
112968377X,040664384
112968377X,041454618
112968377X,04120509X
112974678X,040118827
112974678X,040305503
112974678X,040487377
112974678X,040289257
1129779831,040305503
1129779831,040288595
1129779831,1045190357
1129779831,040597989
1130030458,041155513
1130030458,041493079
1130030458,040763889
1130030458,968328725
1130030458,042735777
1130154297,040418022
1130154297,040456609
1130154297,04139710X
1130154297,040457915
1130297071,042605865
1130297071,041155327
1130297071,041320638
1130297071,040028186
1130323188,943723140
1130323188,041361733
1130323188,040709590
1130323188,94678857X
1130323188,968363148
1130323188,041158032
1130326403,041934008
1130326403,971279659
1130326403,041703707
1130704440,040758125
1130704440,040294137
1130704440,040267229
1130704440,043084168
1130704440,954458540
1130704440,040676013
1130704440,04229763X
1130704440,04120509X
1130748774,1021591971
1130748774,040473465
1130748774,1153638924
1130748774,979308658
1130949516,04151162X
1130949516,042517117
1130949516,040376249
1130949516,04120509X
1131314212,004798139
1131314212,040038467
1131314212,04116489X
1131314212,940431181
1131314212,000003778
1131314212,000003336
113150576X,007643632
113150576X,94705118X
113150576X,042771366
113150576X,040005364
113150576X,942208862
113150576X,040081869
113150576X,041336658
113150576X,041399986
113159651X,04160220X
113159651X,043264646
113159651X,042190576
1131800818,040118827
1131800818,94276823X
1131800818,040492753
1131800818,140721479
1131800818,100971377
1132007453,040525880
1132007453,041958985
1132007453,961505915
1132007453,040266605
1132007755,040714977
1132007755,041481143
1132007755,042776759
1132061059,040261816
1132061059,041401700
1132061059,041677986
1132061059,042522692
1132109280,118562940
1132109280,124121152
1132109280,04051255X
1132109280,041808320
1132109280,040734102
1132189691,040061116
1132189691,040592332
1132189691,041370422
1132189691,040160122
1132189691,041542665
1132189691,040079740
1132189691,04302968X
1132189691,04192147X
1132189691,040481905
1132189691,040146413
1132193079,04126276X
1132193079,041206665
1132193079,949107816
1132193079,042465346
1132193079,040763080
1132193079,041409019
1132200911,041412990
1132200911,041805135
1132200911,040148734
1132200911,043056466
1132232457,040178943
1132232457,040355888
1132232457,040632695
1132232457,040435822
1132232457,118829203
1132286379,040372782
1132286379,04187773X
1132286379,04129047X
1132286379,041676696
1132286662,040474410
1132286662,041156013
1132291119,041689089
1132291860,040543927
1132291860,041173457
113242738X,04033676X
113242738X,041214013
113242738X,041533003
113242738X,041304624
113242738X,040004937
113242738X,040680924
1132754607,040187764
1132754933,041686187
1132754933,041136047
1132755603,04069402X
1132899664,041308808
1132899664,041701003
1132899664,040317315
1132899664,041549392
1132899664,040529223
1132899664,041135962
1132899664,041917502
1133109055,1147608393
1133109055,967598516
1133109055,041900243
1133109055,043097529
1133361900,042088682
1133361900,961349700
1133361900,041952510
